Subbasin,Lat,Lon,Elev,Area
2,-22.79,-44.21,1121.47,14095.1
3,-22.83,-44.2,938.66,10794.2
4,-22.79,-44.17,905.87,8859.9
5,-22.75,-44.13,611.68,4476.4
