Subbasin,Lat,Lon,Elev,Area
1,-22.76,-44.09,579.84,2033.2
2,-22.79,-44.21,1121.47,14095.1
3,-22.83,-44.2,938.66,10794.2
4,-22.79,-44.17,905.87,8859.9
5,-22.75,-44.13,611.68,4476.4
6,-22.78,-44.1,743.28,2947.5
7,-22.72,-44.09,569.65,2367.8
8,-22.67,-43.96,508.85,17045.1
