Subbasin,Lat,Lon,Elev,Area
2,-21.91,-43.45,622.65,28851.2
3,-22.06,-43.46,545.3,29964.9
5,-22.36,-43.69,521.72,48595.5
6,-22.51,-43.7,521.98,11158.7
7,-22.52,-43.83,463.14,7096.1
8,-22.48,-43.83,428.87,371.0
9,-22.53,-43.81,395.12,249.4
14,-22.11,-43.27,523.68,122326.4
15,-22.36,-43.14,1064.09,41917.3
16,-22.11,-43.14,727.6,75913.0
17,-22.18,-42.94,1006.02,92107.1
18,-22.06,-43.13,573.23,143499.3
19,-22.0,-42.92,511.68,63803.4
23,-21.87,-42.58,541.34,145437.6
