year,month,subbasin_id,u2,tmin,tmax,rs,rh,eto,pr,station_id,flow_next_month
1998,1,1,1.0610871221742444,21.152255859307704,31.29759287717678,19.923317246634493,74.40944881889763,4.418084836169672,257.21152378917816,58204000,183.8818928571
1998,2,1,1.0039370078740155,19.553361613818783,31.7390972624897,17.721751968503938,75.29527559055119,3.972019122609673,367.359691152684,58204000,133.5058387097
1998,3,1,0.9105918211836423,19.73017207517004,29.646443067720572,17.364325628651258,75.26035052070104,3.6487172974345943,214.54206976531265,58204000,125.8094
1998,4,1,0.9547244094488188,19.34835861283202,29.389802748700426,15.45259842519685,75.38057742782152,3.145931758530183,39.37345500045774,58204000,165.809516129
1998,5,1,0.967741935483871,14.25519085389805,24.78037502325806,12.469304038608078,75.28575057150114,2.213995427990856,89.50010681478315,58204000,156.1901
1998,6,1,0.8188976377952756,11.206935839920243,22.70205796482233,11.405,76.24671916010499,1.7998687664041992,12.820062868129526,58204000,201.5361612903
1998,7,1,0.8229616459232919,12.619615328955076,24.90111018461729,13.219265938531878,72.99974599949199,2.154559309118618,28.67519150364697,58204000,204.2956774194
1998,8,1,0.9601219202438404,15.067534508066238,27.0313415247638,13.872948945897894,72.4282448564897,2.6680213360426714,32.019257179479354,58204000,220.1206333333
1998,9,1,1.2283464566929134,16.033682261625007,26.75304422132023,15.541614173228346,71.98162729658792,3.1902887139107605,104.68916898098698,58204000,218.5261935484
1998,10,1,1.1296672593345187,16.3892813087912,25.30686853512139,16.07216154432309,78.10515621031242,3.2145034290068573,254.82192449720756,58204000,109.9050666667
1998,11,1,1.108267716535433,17.508580787581003,27.28768781599373,18.80901574803149,75.48556430446193,3.884645669291338,244.44639423810528,58204000,180.9258387097
1998,12,1,1.1563373126746253,20.190509334233795,30.506198703061795,18.91998983997968,76.11125222250445,4.210058420116839,218.710135196997,58204000,213.2213870968
1999,1,1,1.03251206502413,19.47574615294499,30.219797258650274,18.281508763017527,77.254254508509,3.978917957835915,493.6857203894161,58204000,233.7086071429
1999,2,1,0.9955005624296964,20.22843104342784,30.654164250618,18.76525590551181,78.75421822272214,4.0268560179977495,276.0879848628193,58204000,167.1532903226
1999,3,1,1.0401320802641605,19.764904107889823,29.67125166252041,17.359258318516638,76.74625349250698,3.633858267716535,252.48725852229373,58204000,120.6313
1999,4,1,0.9803149606299212,16.976785587125256,26.90799686676636,16.10188976377953,74.1994750656168,3.060629921259842,131.78502761925105,58204000,123.1198064516
1999,5,1,0.9886969773939548,12.766812991434143,24.47936407301996,13.923622047244097,72.54254508509017,2.369189738379476,19.32279427472764,58204000,155.25
1999,6,1,0.9015748031496064,12.118137150181584,23.030192978708254,11.535905511811023,78.25459317585302,1.8305774278215217,46.05471968749045,58204000,148.2443870968
1999,7,1,1.038227076454153,12.687425488074648,22.784661397137363,12.595986791973584,75.69215138430276,2.062103124206248,35.383922849208005,58204000,179.7417419355
1999,8,1,1.1010922021844043,10.66042546740082,24.672595461405407,15.935344170688342,66.5735331470663,2.775336550673101,5.431531723990588,58204000,218.4531
1999,9,1,1.2834645669291338,13.544612974435662,26.986897386598304,17.206732283464568,64.47506561679789,3.456430446194225,45.80751976073486,58204000,180.3207741935
1999,10,1,1.3601727203454408,14.95341497198696,25.11308584462928,16.28498856997714,69.85013970027939,3.4472948945897888,87.25470748008664,58204000,204.5263333333
1999,11,1,1.328740157480315,15.837997578864917,26.21270383821121,18.730472440944883,72.95275590551181,3.859055118110236,127.48649555955676,58204000,183.601483871
1999,12,1,1.1906273812547623,17.84968058934195,28.9267181674718,19.735826771653542,74.98094996189992,4.21005842011684,401.87154759361545,58204000,236.2464032258
2000,1,1,1.1049022098044197,18.84698610029564,29.14200164012377,20.01452882905766,75.70485140970281,4.233172466344932,584.7170934171573,58204000,181.2366551724
2000,2,1,1.0711376595166984,18.70418934946114,28.9047801457101,17.921205538962802,77.35541677979909,3.775047515612272,290.06164738914146,58204000,145.3038709677
2000,3,1,1.036322072644145,18.069098827793898,27.411188676254728,15.864401828803658,78.01625603251206,3.2442214884429763,352.58949552903835,58204000,125.1718533333
2000,4,1,0.8385826771653543,16.227942747276224,26.75532293669444,17.64657480314961,75.09186351706036,3.137401574803149,85.93630787072354,58204000,130.6332806452
2000,5,1,0.8801117602235204,12.903535913886612,24.388399225420542,14.41515113030226,73.31724663449326,2.360934721869443,44.38612018189025,58204000,154.4816
2000,6,1,0.9566929133858268,10.389161860001424,24.410524816634624,13.038700787401575,72.1522309711286,2.0881889763779524,1.7029328287606231,58204000,172.5385806452
2000,7,1,0.9772669545339092,10.049307082164686,21.96101604978258,12.545313690627385,72.69494538989078,1.9878079756159508,66.94998016296881,58204000,182.5161290323
2000,8,1,1.213487426974854,11.935862891166074,24.13700546478213,14.896545593091188,68.78333756667513,2.689484378968757,34.058656575212865,58204000,190.2046666667
2000,9,1,1.2992125984251968,14.869543544826604,24.81556647440005,15.363582677165356,74.48818897637794,3.064041994750656,115.60716574602492,58204000,122.1010870968
2000,10,1,1.358267716535433,17.603799849770176,29.32282873110929,19.16828803657608,70.37084074168148,4.1621793243586485,113.10769981994082,58204000,213.0334666667
2000,11,1,1.312992125984252,18.181941180659404,27.68332977284056,18.196377952755903,71.78477690288715,3.9562992125984247,300.4165776543473,58204000,186.5226419355
2000,12,1,1.263017526035052,19.22958976231988,29.032568171951127,19.46219202438405,76.69545339090679,4.173736347472694,314.3902401806696,58204000,162.9913225806
